"","Plant","VSLNumber","SampleID","Day_Initial_Actual","spoilagetype","Log10CFU_Initial","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI","Log10CFU_Initial_1logRed","Log10CFU_Initial_2logRed","CFU_Initial","CFU_Initial_1logRed","CFU_Initial_2logRed"
"46","Hood-Portland","438","33",2,"ppc",0.221677678,50600,5950000,132000,832000,61,72,"OK","OK","OK","OK","OK","OK",-0.778322322,-1.778322322,1.6660102843625,0.16660102843625,0.016660102843625
"47","Hood-Portland","438","33-2",2,"ppc",1.291526241,20700000,2.97e+08,5.22e+08,5.73e+08,163000,51,"OK","OK","OK","OK","OK","OK",0.291526241,-0.708473759,19.5670899289895,1.95670899289895,0.195670899289896
"48","Hood-Portland","440","92-1",2,"ppc",1.810011126,9420000,38100000,1.06e+08,68700000,46000,72,"OK","OK","OK","OK","OK","OK",0.810011126,-0.189988874,64.5670769979264,6.45670769979264,0.645670769979264
"49","Hood-Portland","440","93-1",2,"ppc",0.270360661,9410000,14400000,1.2e+08,90200000,38200,143,"OK","OK","OK","OK","OK","OK",-0.729639339,-1.729639339,1.86363415411902,0.186363415411902,0.0186363415411902
"50","Stewart's","435","12-1",0,"ppc",1.125230338,2.4e+07,205,1130,705,90800,480,"OK","OK","OK","OK","OK","OK",0.125230338,-0.874769662,13.3422888330922,1.33422888330922,0.133422888330922
"51","Stewart's","435","13-1",0,"ppc",1.285130592,24300000,2.6e+08,4.73e+08,7.29e+08,98200,388,"OK","OK","OK","OK","OK","OK",0.285130592,-0.714869408,19.2810460552793,1.92810460552793,0.192810460552793
"52","Upstate Buffalo","434","31",1,"ppc",-0.450395545,78700,1.38e+08,1.53e+09,5210000,113,31,"OK","OK","OK","OK","OK","OK",-1.450395545,-2.450395545,0.354490380823356,0.0354490380823356,0.00354490380823356
"53","Upstate Buffalo","434","32",1,"ppc",0.78188231,47600000,99300000,1.34e+09,2.79e+10,29700,31,"OK","OK","OK","OK","OK","OK",-0.21811769,-1.21811769,6.05176854904862,0.605176854904862,0.0605176854904861
"54","Upstate Buffalo","434","32-2",1,"ppc",0.087929705,1e+06,17600000,10200,52100,1480,726,"OK","OK","OK","OK","OK","OK",-0.912070295,-1.912070295,1.22441799865954,0.122441799865954,0.0122441799865954
"55","Upstate Buffalo","434","33",1,"ppc",0.926862943,64800000,1960000,245000,1.77e+09,13500,41,"OK","OK","OK","OK","OK","OK",-0.0731370569999999,-1.073137057,8.45012129581511,0.845012129581511,0.0845012129581511
