"","Plant","VSLNumber","SampleID","spoilagetype","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"225","Upstate Buffalo","439","33-2","ppc",32800000,3e+07,2.52e+08,3.32e+08,126000,2620,"OK","OK","OK","OK","OK","OK"
"226","Upstate Buffalo","441","92","spore",1500,1660,2280,41700,1720,5900,"OK","OK","OK","OK","OK","OK"
"227","Upstate Buffalo","441","92-1","spore",1800,2380,3130,20900,2230,2440,"OK","OK","OK","OK","OK","OK"
"228","Upstate Buffalo","441","92-2","spore",7750,39300,480000,5640000,2470,2610,"OK","OK","OK","OK","OK","OK"
"229","Upstate Buffalo","441","93","spore",10,72,511,4e+05,92,51,"OK","OK","OK",">","OK","OK"
"230","Upstate Buffalo","441","93-1","spore",41,92,1370,4e+05,10,20,"OK","OK","OK",">","<","OK"
"231","Upstate Buffalo","441","93-2","ppc",42800000,1.09e+08,4.07e+08,4.69e+08,89300,10,"OK","OK","OK","OK","OK","OK"
"232","Upstate Buffalo","458","31","spore",11,63,1200,4e+05,60,20,"OK","OK","OK",">","OK","OK"
"233","Upstate Buffalo","458","32","spore",120,190000,14000,3700000,10,20,"OK","OK","OK","OK","OK","OK"
"234","Upstate Buffalo","458","33","NotSpoiled",120,90,810,3200,20,60,"OK","OK","OK","OK","OK","OK"
"235","Upstate Buffalo","458","34","spore",150,4e+05,5500,4.5e+07,100,80,"OK",">","OK","OK","OK","OK"
"236","Upstate Buffalo","458","34-1","ppc",3e+06,8.7e+07,1.9e+08,2.1e+09,58000,100,"OK","OK","OK","OK","OK","OK"
"237","Upstate Buffalo","Aim2","Prelim","NotSpoiled",10,929,419,1310,20,0,"OK","OK","OK","OK","OK","OK"
"238","Upstate Buffalo","Aim2","Prelim","spore",0,347,106150,1420,0,0,"OK","OK","OK","OK","OK","OK"
"239","Upstate Buffalo","Aim2","Prelim","NotSpoiled",10,532,552,1020,0,0,"OK","OK","OK","OK","OK","OK"
"240","Upstate Buffalo","Aim2","Prelim","NotSpoiled",31,143,674,337,0,0,"OK","OK","OK","OK","OK","OK"
"241","Upstate Buffalo","Aim2","Prelim","NotSpoiled",0,644,1020,910,10,0,"OK","OK","OK","OK","OK","OK"
"242","Upstate Buffalo","Aim2","Prelim","NotSpoiled",72,440,1165,1330,0,0,"OK","OK","OK","OK","OK","OK"
"243","Upstate Buffalo","Aim2","Prelim","spore",3210,17700000,214500,5005000,62,0,"OK","OK","OK","OK","OK","OK"
"244","Upstate Buffalo","Aim2","Prelim","ppc",8270000,2025000,3.86e+08,NA,7760,0,"OK","OK","OK","OK","OK","OK"
"245","Upstate Rochester","434","21","ppc",16300000,2700000,287000,14600000,3590,2110,"OK","OK","OK","OK","OK","OK"
"246","Upstate Rochester","434","22","ppc",2.03e+08,1.71e+09,1.63e+10,4.54e+09,4e+05,72,"OK","OK","OK","OK",">","OK"
"247","Upstate Rochester","434","22-1","ppc",28900000,4.35e+08,2.11e+08,3.57e+08,1360000,1270,"OK","OK","OK","OK","OK","OK"
"248","Upstate Rochester","434","22-2","spore",92,113,174,90500,256,297,"OK","OK","OK","OK","OK","OK"
"249","Upstate Rochester","434","23","ppc",225000,1.22e+08,1.05e+09,2.12e+08,256,31,"OK","OK","OK","OK","OK","OK"
"250","Upstate Rochester","434","23-1","NotSpoiled",82,286,2400,481,121,327,"OK","OK","OK","OK","OK","OK"
"251","Upstate Rochester","434","23-2","ppc",31800,2350000,2130000,5.93e+08,112,154,"OK","OK","OK","OK","OK","OK"
"252","Upstate Rochester","434","24","ppc",NA,5.83e+08,1.01e+11,1.63e+11,4e+05,532,"OK","OK","OK","OK",">","OK"
"253","Upstate Rochester","436","82","NotSpoiled",143,1760,399,92,51,61,"OK","OK","OK","OK","OK","OK"
"254","Upstate Rochester","436","82-1","NotSpoiled",41,72,112,20,51,20,"OK","OK","OK","OK","OK","OK"
"255","Upstate Rochester","436","82-2","NotSpoiled",41,2620,4620,15500,10,31,"OK","OK","OK","OK","OK","OK"
"256","Upstate Rochester","436","83","spore",2430,4610,33700,8840,163,133,"OK","OK","OK","OK","OK","OK"
"257","Upstate Rochester","436","83-1","spore",102,112,112000,4180000,113,174,"OK","OK","OK","OK","OK","OK"
"258","Upstate Rochester","436","83-2","spore",92,235,2870000,2.91e+08,123,123,"OK","OK","OK","OK","OK","OK"
"259","Upstate Rochester","439","22","spore",82,890,37300,202000,72,61,"OK","OK","OK","OK","OK","OK"
"260","Upstate Rochester","439","22-1","spore",31,286,898,68600,62,10,"OK","OK","OK","OK","OK","OK"
"261","Upstate Rochester","439","22-2","spore",164,409,4e+05,2500000,92,123,"OK","OK",">","OK","OK","OK"
"262","Upstate Rochester","439","23","NotSpoiled",20,20,10200,31,41,10,"OK","OK","OK","OK","OK","OK"
"263","Upstate Rochester","439","23-1","NotSpoiled",21,10,51,3200,21,20,"OK","<","OK","OK","OK","OK"
"264","Upstate Rochester","439","23-2","ppc",1400000,51700000,2.17e+08,2.57e+08,368,21,"OK","OK","OK","OK","OK","OK"
"265","Upstate Rochester","441","82","spore",266,79000,2530000,9910000,20,10,"OK","OK","OK","OK","OK","OK"
"266","Upstate Rochester","441","82-1","spore",31,41,4e+05,592000,31,10,"OK","OK",">","OK","OK","<"
"267","Upstate Rochester","441","82-2","spore",18400,13900000,2.71e+08,6.34e+08,133,10,"OK","OK","OK","OK","OK","OK"
"268","Upstate Rochester","441","83","spore",61,4750,39000,1260000,21,31,"OK","OK","OK","OK","OK","OK"
"269","Upstate Rochester","441","83-1","NotSpoiled",72,41,72,572,51,51,"OK","OK","OK","OK","OK","OK"
"270","Upstate Rochester","441","83-2","ppc",24300000,1.07e+08,6.07e+08,8.59e+08,26500,41,"OK","OK","OK","OK","OK","OK"
"271","Upstate Rochester","458","21","spore",95,7700,150000,4600000,40,110,"OK","OK","OK","OK","OK","OK"
"272","Upstate Rochester","458","22","spore",200,14000,98000,93000,90,80,"OK","OK","OK","OK","OK","OK"
"273","Upstate Rochester","458","22-1","spore",11000,2900000,2.1e+07,1.6e+07,660,130,"OK","OK","OK","OK","OK","OK"
"274","Upstate Rochester","458","23","spore",180,47000,11000,4000,70,90,"OK","OK","OK","OK","OK","OK"
"275","Upstate Rochester","458","23-1","NotSpoiled",170,190,500,1400,200,200,"OK","OK","OK","OK","OK","OK"
"276","Upstate Rochester","458","23-2","spore",1100,240,1900,4e+05,110,120,"OK","OK","OK",">","OK","OK"
"277","Upstate Rochester","458","24","spore",200,2800,110000,490000,140,10,"OK","OK","OK","OK","OK","OK"
"278","Upstate Rochester","Aim2","Prelim","spore",552,3935000,6895000,NA,41,10,"OK","OK","OK","OK","OK","OK"
"279","Upstate Rochester","Aim2","Prelim","NotSpoiled",20,276,3105,15200,41,51,"OK","OK","OK","OK","OK","OK"
"280","Upstate Rochester","Aim2","Prelim","spore",41,61,818,77950,20,0,"OK","OK","OK","OK","OK","OK"
"281","Upstate Rochester","Aim2","Prelim","NotSpoiled",41,1440,889,8650,0,20,"OK","OK","OK","OK","OK","OK"
"282","Upstate Rochester","Aim2","Prelim","spore",0,45700,224,16600,10,0,"OK","OK","OK","OK","OK","OK"
"283","Upstate Rochester","Aim2","Prelim","spore",1086,28450,4e+05,1810000,184,112,"OK","OK","OK","OK","OK","OK"
