"","Plant","VSLNumber","SampleID","spoilagetype","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"33","Byrne Dairy","457","24","spore",160,130,530,110000,300,300,"OK","OK","OK","OK","OK","OK"
"34","Byrne Dairy","457","24-1","spore",270,12000,540000,1e+07,350,250,"OK","OK","OK","OK","OK","OK"
"35","Byrne Dairy","Aim2","Prelim","ppc",35300000,177500000,NA,NA,48650,3240,"OK","OK","OK","OK","OK","OK"
"36","Byrne Dairy","Aim2","Prelim","ppc",9575000,3.9e+07,NA,NA,3210,2105,"OK","OK","OK","OK","OK","OK"
"37","Byrne Dairy","Aim2","Prelim","spore",1420,43350000,725500,123000,2370,2870,"OK","OK","OK","OK","OK","OK"
"38","Byrne Dairy","Aim2","Prelim","ppc",13800000,51100,4.83e+08,613000,4150,2450,"OK","OK","OK","OK","OK","OK"
"39","Byrne Dairy","Aim2","Prelim","NotSpoiled",1460,164,999,1980,2380,2890,"OK","OK","OK","OK","OK","OK"
"40","Byrne Dairy","Aim2","Prelim","ppc",28750000,267500000,NA,NA,66850,2370,"OK","OK","OK","OK","OK","OK"
"41","Byrne Dairy","Aim2","Prelim","ppc",16250000,2.51e+08,NA,NA,31700,2975,"OK","OK","OK","OK","OK","OK"
"42","Byrne Dairy","Aim2","Prelim","ppc",42300000,2.49e+08,NA,NA,53250,2140,"OK","OK","OK","OK","OK","OK"
"43","Cornell Dairy","434","72","ppc",34500000,3.88e+08,4.01e+08,2.05e+08,4e+05,164,"OK","OK","OK","OK",">","OK"
"44","Cornell Dairy","434","72-1","ppc",41800000,3.31e+08,3.79e+08,5.28e+08,4e+05,133,"OK","OK","OK","OK",">","OK"
"45","Cornell Dairy","434","73","ppc",41500000,1.38e+08,2.26e+08,2.76e+08,4e+05,123,"OK","OK","OK","OK",">","OK"
"46","Cornell Dairy","434","73-1","ppc",37900000,1.87e+08,3.56e+08,2.53e+08,4e+05,450,"OK","OK","OK","OK",">","OK"
"47","Cornell Dairy","437","32","NotSpoiled",1200,818,1040,18000,848,1130,"OK","OK","OK","OK","OK","OK"
"48","Cornell Dairy","437","32-1","spore",1710,2230,9610,9810000,1200,1410,"OK","OK","OK","OK","OK","OK"
"49","Cornell Dairy","437","33","spore",1020,1030,1470,557000,1260,1030,"OK","OK","OK","OK","OK","OK"
"50","Cornell Dairy","437","33-1","spore",1190,624,2930,1740000,1250,1470,"OK","OK","OK","OK","OK","OK"
