"","scenario","day","mean","sd"
"136","MB_MeanSpoilType_LT","31",3.48337087074758,3.55826447900223
"137","MB_MeanSpoilType_LT","32",3.54548073383678,3.557025771962
"138","MB_MeanSpoilType_LT","33",3.60528484824368,3.55535792009098
"139","MB_MeanSpoilType_LT","34",3.66162074326184,3.55347631549692
"140","MB_MeanSpoilType_LT","35",3.71444764842923,3.55121413559105
"141","MB_WorstPPCVSL434_CT","1",-0.923470996401387,0.927086352005695
"142","MB_WorstPPCVSL434_CT","2",0.218932749418192,1.38300170207328
"143","MB_WorstPPCVSL434_CT","3",2.24644132039456,2.11525965300503
"144","MB_WorstPPCVSL434_CT","4",4.00024716175065,3.09838522553815
"145","MB_WorstPPCVSL434_CT","5",4.76312360292249,3.02423413789831
"146","MB_WorstPPCVSL434_CT","6",5.40407747742345,2.8684014827415
"147","MB_WorstPPCVSL434_CT","7",5.99644446974387,2.76101063871199
"148","MB_WorstPPCVSL434_CT","8",6.45349121612627,2.65439132359849
"149","MB_WorstPPCVSL434_CT","9",6.77284643745324,2.53276180800807
"150","MB_WorstPPCVSL434_CT","10",6.98615904762812,2.41476722010312
"151","MB_WorstPPCVSL434_CT","11",7.11189998353533,2.29337185226414
"152","MB_WorstPPCVSL434_CT","12",7.19198855501925,2.16189525713354
"153","MB_WorstPPCVSL434_CT","13",7.25794012824036,2.02737342957254
"154","MB_WorstPPCVSL434_CT","14",7.31965973807105,1.89568374512182
"155","MB_WorstPPCVSL434_CT","15",7.3812924566337,1.75737954819427
"156","MB_WorstPPCVSL434_CT","16",7.44083515235055,1.61548834488737
"157","MB_WorstPPCVSL434_CT","17",7.49773772423689,1.47927795875867
"158","MB_WorstPPCVSL434_CT","18",7.54964801016666,1.35286264687147
"159","MB_WorstPPCVSL434_CT","19",7.59472361044232,1.23851040080825
"160","MB_WorstPPCVSL434_CT","20",7.63347502530252,1.13674818337272
"161","MB_WorstPPCVSL434_CT","21",7.67003887151008,1.04196822974891
"162","MB_WorstPPCVSL434_CT","22",7.70497691926061,0.95454106045602
"163","MB_WorstPPCVSL434_CT","23",7.73673630589091,0.877169704951307
"164","MB_WorstPPCVSL434_CT","24",7.76257807564658,0.813396508878199
"165","MB_WorstPPCVSL434_CT","25",7.78211970710433,0.76242193059721
"166","MB_WorstPPCVSL434_CT","26",7.79676171668327,0.722883489746221
"167","MB_WorstPPCVSL434_CT","27",7.80720458778188,0.693744944993618
"168","MB_WorstPPCVSL434_CT","28",7.81423400378638,0.673416970215292
"169","MB_WorstPPCVSL434_CT","29",7.81992234172372,0.658822122778323
"170","MB_WorstPPCVSL434_CT","30",7.82486330336667,0.649208937956703
"171","MB_WorstPPCVSL434_CT","31",7.82841854953365,0.644028353590758
"172","MB_WorstPPCVSL434_CT","32",7.83066995204221,0.64133455293428
"173","MB_WorstPPCVSL434_CT","33",7.83219472643491,0.640326589783939
"174","MB_WorstPPCVSL434_CT","34",7.832324000052,0.640293600051103
"175","MB_WorstPPCVSL434_CT","35",7.832324000052,0.640293600051103
"176","MB_WorstPPCVSL434_LT","1",-1.19634185952908,0.981519914079194
"177","MB_WorstPPCVSL434_LT","2",-0.609560610006433,1.61222900028373
"178","MB_WorstPPCVSL434_LT","3",0.124655785836537,2.1701519327361
"179","MB_WorstPPCVSL434_LT","4",0.931737897003825,2.6888365129859
"180","MB_WorstPPCVSL434_LT","5",1.69456674461409,3.06354747003337
"181","MB_WorstPPCVSL434_LT","6",2.35310177263091,3.32279348636115
