FSL,Genus,Species,project,sample ident,sampleid num,Isolate Source Very Specific,rpoB allelic type
FSL M7-0480,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,C4,52555,Laboratory Heat Treated Raw Milk,179
FSL M7-0673,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,C4,66035,Laboratory Heat Treated Raw Milk,179
FSL M7-0676,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,C5,66016,Laboratory Heat Treated Raw Milk,179
FSL M7-0689,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,C6,66031,Laboratory Heat Treated Raw Milk,179
FSL M7-0981,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,C8,66065,Laboratory Heat Treated Raw Milk,179
FSL M7-0201,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,F2*,52525,Laboratory Heat Treated Raw Milk,179
FSL M7-0985,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,F9,66071,Laboratory Heat Treated Raw Milk,179
FSL M7-0058,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,G2,52515,Laboratory Heat Treated Raw Milk,179
FSL M7-1544,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,G2*,66082,Laboratory Heat Treated Raw Milk,179
FSL M7-0387,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,G3,52520,Laboratory Heat Treated Raw Milk,179
FSL M7-0469,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,G4,52553,Laboratory Heat Treated Raw Milk,179
FSL M7-1068,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,G9,66061,Laboratory Heat Treated Raw Milk,179
FSL M7-1125,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,H10,66080,Laboratory Heat Treated Raw Milk,179
FSL M7-0064,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,H2,52517,Laboratory Heat Treated Raw Milk,179
FSL M7-0539,Paenibacillus,cf. peoriae,Sporeformer - Longitudinal,H5,66019,Laboratory Heat Treated Raw Milk,179
FSL A5-0030,Paenibacillus,peoriae,Pseudomonas Inoculation,R2 72 D17,58828,milk,179
FSL W7-1044,Paenibacillus,cf. peoriae,Watters Project,10/2/08,48271,Laboratory Heat Treated Raw Milk,340
FSL W7-1085,Paenibacillus,cf. peoriae,Watters Project,1-024,48272,Laboratory Heat Treated Raw Milk,340
FSL J3-0120,Paenibacillus,cf. peoriae,Sensory Defects,400_21,60490,Pasteurized Milk,340
FSL J3-0123,Bacillus,weihenstephanensis,Sensory Defects,400_42,60491,Pasteurized Milk,513
FSL M7-1345,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,G2*,66082,Laboratory Heat Treated Raw Milk,513
