Hour,Isolate,LOG Count,Concentration,AVG Concentration
216,FSL R10-1587,7.359835482,2.29E+07,
216,FSL R10-1587,7.31386722,2.06E+07,
216,FSL R10-1587,7.260071388,1.82E+07,
216,FSL R10-1587,7.303196057,2.01E+07,
216,FSL R10-1587,7.328379603,2.13E+07,
240,FSL R10-0587,5.298853076,1.99E+05,
240,FSL R10-0587,5.294466226,1.97E+05,
240,FSL R10-0587,5.766412847,5.84E+05,
240,FSL R10-0587,5.840106094,6.92E+05,
240,FSL R10-0587,4.257678575,1.81E+04,
240,FSL R10-0587,4.423245874,2.65E+04,
240,FSL R10-1587,7.465382851,2.92E+07,
240,FSL R10-1587,7.480006943,3.02E+07,
240,FSL R10-1587,7.387389826,2.44E+07,
240,FSL R10-1587,7.382017043,2.41E+07,
240,FSL R10-1587,7.426511261,2.67E+07,
240,FSL R10-1587,7.463892989,2.91E+07,
264,FSL R10-0587,5.689308859,4.89E+05,
264,FSL R10-0587,5.586587305,3.86E+05,
264,FSL R10-0587,6.206825876,1.61E+06,
264,FSL R10-0587,6.235528447,1.72E+06,
264,FSL R10-0587,4.63748973,4.34E+04,
264,FSL R10-0587,4.537819095,3.45E+04,
264,FSL R10-1587,7.620136055,4.17E+07,
264,FSL R10-1587,7.605305046,4.03E+07,
264,FSL R10-1587,7.567026366,3.69E+07,
264,FSL R10-1587,7.532754379,3.41E+07,
264,FSL R10-1587,7.550228353,3.55E+07,
264,FSL R10-1587,7.618048097,4.15E+07,
288,FSL R10-0587,6.222716471,1.67E+06,
288,FSL R10-0587,6.220108088,1.66E+06,
288,FSL R10-0587,6.932473765,8.56E+06,
288,FSL R10-0587,6.993876915,9.86E+06,
288,FSL R10-0587,4.945960704,8.83E+04,
288,FSL R10-0587,5.212187604,1.63E+05,
288,FSL R10-1587,7.785329835,6.10E+07,
288,FSL R10-1587,7.738780558,5.48E+07,
288,FSL R10-1587,7.641474111,4.38E+07,
288,FSL R10-1587,7.645422269,4.42E+07,
288,FSL R10-1587,7.670245853,4.68E+07,
288,FSL R10-1587,7.702430536,5.04E+07,
312,FSL R10-0587,6.811575006,6.48E+06,
312,FSL R10-0587,6.73239376,5.40E+06,
312,FSL R10-0587,7.068185862,1.17E+07,
312,FSL R10-0587,7.049218023,1.12E+07,
312,FSL R10-0587,5.378397901,2.39E+05,
312,FSL R10-0587,5.371067862,2.35E+05,
312,FSL R10-1587,7.757396029,5.72E+07,
312,FSL R10-1587,7.795880017,6.25E+07,
312,FSL R10-1587,7.787460475,6.13E+07,
312,FSL R10-1587,7.783188691,6.07E+07,
312,FSL R10-1587,7.598790507,3.97E+07,
312,FSL R10-1587,7.802773725,6.35E+07,
