ID,milkType,size,container,projectNumber,plantID,dateProcessed,dateInitial,DIgreaterthanlessthan,DIdatavalue,DIcountability,D7greaterthanlessthan,D7datavalue,D7countability,D10greaterthanlessthan,D10datavalue,D10countability,D14greaterthanlessthan,D14datavalue,D14countability
4766,Creamline,½ Gal,Plastic,460,36-1296,3/11/2018,3/15/2018,,2600.00,,,400000,E,,38000000,,,40000000,E
4772,2%,½ Gal,Plastic,461,36-1007,4/12/2018,4/13/2018,,5.00,E,,350,E,,400000,E,,70000000,
4773,Skim,½ Gal,Plastic,461,36-1007,4/12/2018,4/13/2018,,41.00,E,,400000,E,,47000000,,,88000000,
4776,2%,qt,Glass,461,36-1007,4/12/2018,4/13/2018,,5.00,E,,5200,,,11000000,,,120000000,
4779,2%,½ Gal,Plastic,461,50-13,4/10/2018,4/13/2018,,5.00,E,,2100,,,14000000,,,54000000,
4789,2%,½ Gal,Plastic,461,36-3661,4/9/2018,4/13/2018,,5.00,E,,20,E,,11000,,,19000000,
4795,Skim,½ Pint,Paper,461,36-3661,4/9/2018,4/13/2018,,650.00,,,150000,,,23000000,,,320000000,
4796,Skim,Gal,Plastic,461,36-3661,4/9/2018,4/13/2018,,5.00,E,,23000,,,5700000,,,120000000,
4797,1%,½ Pint,Paper,461,36-3661,4/9/2018,4/13/2018,,5.00,E,,490,,,2000000,,,110000000,
4798,1%,Gal,Plastic,461,36-3661,4/9/2018,4/13/2018,,5.00,E,,120,E,,210000,,,42000000,
4807,Homogenized,½ Gal,Plastic,462,25-08,5/8/2018,5/11/2018,,5.00,E,,4300,,,1400000,,,56000000,
4808,2%,½ Gal,Plastic,462,25-08,5/8/2018,5/11/2018,,5.00,E,,270,E,,110000,,,7500000,
4809,Skim,½ Gal,Plastic,462,25-08,5/8/2018,5/11/2018,,5.00,E,,20,E,,21000000,,,63000,
4810,1%,½ Gal,Plastic,462,25-08,5/8/2018,5/11/2018,,5.00,E,,120,E,,130000,,,3600000,
4813,Homogenized,½ Gal,Paper,462,25-08,5/8/2018,5/11/2018,,5.00,E,,4600,,,9800000,,,48000000,
4814,2%,½ Pint,Paper,462,25-08,5/8/2018,5/11/2018,,5.00,E,,20,E,,16000,,,12000000,
4816,Skim,½ Pint,Paper,462,25-08,5/8/2018,5/11/2018,,5.00,E,,20,E,,21000000,,,56000000,
4817,1%,½ Pint,Paper,462,25-08,5/8/2018,5/11/2018,,5.00,E,,4100,,,3800000,,,38000000,
4818,1%,Gal,Plastic,462,25-08,5/8/2018,5/11/2018,,5.00,E,,200,E,,140000,,,14000000,
4829,Skim,½ Pint,Paper,462,36-2151,5/7/2018,5/11/2018,,5.00,E,,710,,,3000000,,,65000000,
4832,Homogenized,½ Gal,Plastic,462,36-2985,5/7/2018,5/11/2018,,5.00,E,,11000,,,40000000,E,,170000000,
4834,Skim,½ Gal,Plastic,462,36-2985,5/4/2018,5/11/2018,,5.00,E,,,,,4000,,,22000000,
4835,1%,½ Gal,Plastic,462,36-2985,5/7/2018,5/11/2018,,5.00,E,,1400,,,40000000,E,,17000000,
4837,Homogenized,qt,Paper,462,36-2985,5/7/2018,5/11/2018,,360.00,E,,400000,E,,36000000,,,130000000,
4838,2%,½ Pint,Paper,462,36-2985,5/7/2018,5/11/2018,,840.00,,,400000,E,,56000000,,,230000000,
4839,1%,½ Pint,Paper,462,36-2985,5/7/2018,5/11/2018,,5.00,E,,400000,E,,37000000,,,170000000,
4841,Creamline,½ Gal,Plastic,462,36-1296,5/5/2018,5/11/2018,,1500.00,,,,,,16000000,,,46000000,
4842,Creamline,½ Gal,Plastic,462,36-1296,5/7/2018,5/11/2018,,160.00,E,,400000,E,,13000000,,,59000000,
4848,Creamline,½ Gal,Plastic,462,36-1132,5/15/2018,5/17/2018,,5.00,E,,240000,,,18000000,,,26000,
4849,Creamline,½ Gal,Plastic,462,36-1132,5/16/2018,5/17/2018,,5.00,E,,26000,,,2000,E,,2800000,
4851,Homogenized,½ Gal,Plastic,463,36-1007,7/9/2018,7/12/2018,,5.00,E,,41,E,,31000,,,13000000,
4852,2%,½ Gal,Plastic,463,36-1007,7/9/2018,7/12/2018,,5.00,E,,270,E,,86000,,,12000000,
4853,Skim,½ Gal,Plastic,463,36-1007,7/9/2018,7/12/2018,,5.00,E,,290,E,,54000,,,13000000,
4856,Skim,½ Gal,Plastic,463,23-03,7/16/2018,7/18/2018,,5.00,E,,1600,,,2500000,,,33000000,
4865,2%,qt,Glass,463,36-1007,7/9/2018,7/12/2018,,5.00,E,,3300,,,5800000,,,25000000,
4866,Skim,qt,Glass,463,36-1007,7/9/2018,7/12/2018,,5.00,E,,39000,,,12000000,,,44000000,
4867,Creamline,½ Gal,Plastic,463,36-1255,7/9/2018,7/12/2018,,5.00,E,,75000,,,9000000,,,18000000,
4868,Skim Creamline,½ Gal,Plastic,463,36-1255,7/9/2018,7/12/2018,,5.00,E,,22000,,,3100000,,,18000000,
4869,1%,½ Gal,Plastic,463,36-1255,7/9/2018,7/12/2018,,5.00,E,,210000,,,17000000,,,82000000,
4871,Skim,12 oz,Plastic,463,36-1255,7/9/2018,7/12/2018,,5.00,E,,14000,,,9300000,,,200000000,E
4872,1%,12 oz,Plastic,463,36-1255,7/9/2018,7/12/2018,,5.00,E,,30000,,,120000,,,380000000,E
4873,1%,qt,Glass,463,36-1255,7/9/2018,7/12/2018,,5.00,E,,32000,,,16000000,,,220000000,E
4875,Homogenized,½ Gal,Plastic,463,36-1348,7/9/2018,7/12/2018,,5.00,E,,800,,,170000,,,3400000,E
4876,2%,½ Gal,Plastic,463,36-1348,7/9/2018,7/12/2018,,5.00,E,,2600,,,1700,,,5400000,
4880,Creamline,½ Gal,Plastic,463,36-1103,7/9/2018,7/12/2018,,5.00,E,,3000,,,490000,,,700000,
4890,Homogenized,Gal,Plastic,464,36-2151,8/6/2018,8/9/2018,,5.00,E,,1800,,,400000,E,,3400000,E
