VSL Number,Product,SampleID,Plant,Date Collected,Date Processed,Day,Test,GreaterThan/LessThan,Count Value,Countability
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,82300000,
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,216000000,
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,38700,
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,273000000,
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,D14,SPC,,929,
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,D14,SPC,,807,
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,D14,SPC,,123,E
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,D14,SPC,,266,E
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,D14,CVTA,<,10,E
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,D14,CVTA,<,10,E
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,D14,CVTA,<,10,E
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,,72,E
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,,93800,
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,,4410,
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,,4000000,E
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,,292000000,
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,,37900,
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,,213000000,
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,D14,CVTA,,31,E
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,D14,CVTA,,10,E
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,D14,CVTA,<,10,E
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,D14,CVTA,,41,E
433,DRI Extras,22-1,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,,1680,
433,DRI Extras,22-1,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,22-2,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,,1910,
433,DRI Extras,22-2,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,23-1,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,<,10,E
433,DRI Extras,23-1,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,23-2,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,,72,E
433,DRI Extras,23-2,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,25,Hood-Concord,15-Jul-15,13-Jul-15,D14,SPC,,138000,
433,DRI Extras,25,Hood-Concord,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,32-1,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,102,E
433,DRI Extras,32-1,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,32-2,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,33-1,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,26800000,
