Trial,PlateID,Day,HTST_Temp,Storage_Temp,Raw_APC,LPC,MSC,MSC_Spread%,PSC_10,PSC_21,PI,APC,CVTA,pH,Particle_Size,Coagulated,IsoID,Genus,Species,AT,Hypothesis,DayInt_SPC
1,85C S3C D42 SPC2,42,85,3,,,,,,,,1200,N,6.7,403.2,,,,,,,80
1,90C S3C D42 SPC5,42,90,3,,,,,,,,18046,N,6.66,387.3,,,,,,,60
1,90C S3C D42 SPC4,42,90,3,,,,,,,,16970,N,6.66,373.9,,,,,,,40
1,75C S6.5C D42 SPC6,42,75,6.5,,,,,,,,48447,N,6.65,541.3,,,,,,,160
1,75C S6.5C D42 SPC7,42,75,6.5,,,,,,,,47205,N,6.65,530,,,,,,,0
1,90C S6.5C D42 SPC9,42,90,6.5,,,,,,,,2940,N,6.68,383.4,,,,,,,60
1,90C S6.5C D42 SPC8,42,90,6.5,,,,,,,,2340,N,6.68,396.6,,,,,,,40
2,75C DI SPC4,0,75,6.5,,,,,,,,120,N,6.7,318.7,,,,,,,120
2,75C DI SPC5,0,75,6.5,,,,,,,,80,N,6.66,356.4,,,,,,,80
2,85C DI SPC7,0,85,6.5,,,,,,,,40,N,6.67,327,,,,,,,40
2,85C DI SPC6,0,85,6.5,,,,,,,,0,N,6.67,317.1,,,,,,,0
2,90C DI SPC8,0,90,6.5,,,,,,,,0,N,6.66,320.7,,,,,,,0
2,90C DI SPC9,0,90,6.5,,,,,,,,60,N,6.68,331.7,,,,,,,60
2,75C DI SPC4,0,75,10,,,,,,,,120,N,6.7,318.7,,,,,,,120
2,75C DI SPC5,0,75,10,,,,,,,,80,N,6.66,356.4,,,,,,,80
2,85C DI SPC7,0,85,10,,,,,,,,40,N,6.67,327,,,,,,,40
2,85C DI SPC6,0,85,10,,,,,,,,0,N,6.67,317.1,,,,,,,0
2,90C DI SPC8,0,90,10,,,,,,,,0,N,6.66,320.7,,,,,,,0
2,90C DI SPC9,0,90,10,,,,,,,,60,N,6.68,331.7,,,,,,,60
2,75C S10C D3 SPC,3,75,10,,,,,,,,20,N,6.59,360.7,,,,,,,120
2,75C S10C D3 SPC1,3,75,10,,,,,,,,80,N,6.59,372.7,,,,,,,80
2,85C S10C D3 SPC2,3,85,10,,,,,,,,60,N,6.7,288,,,,,,,40
2,85C S10C D3 SPC3,3,85,10,,,,,,,,60,N,6.73,292,,,,,,,0
2,90C S10C D3 SPC5,3,90,10,,,,,,,,60,N,6.72,320.1,,,,,,,0
2,90C S10C D3 SPC4,3,90,10,,,,,,,,0,N,6.73,306.1,,,,,,,60
2,75C S10C D5 SPC,5,75,10,,,,,,,,120,N,6.63,335.2,,,,,,,120
2,75C S10C D5 SPC1,5,75,10,,,,,,,,100,N,6.65,325.5,,,,,,,80
2,85C S10C D5 SPC2,5,85,10,,,,,,,,240,Y,6.73,282.4,,,,,,,40
2,85C S10C D5 SPC3,5,85,10,,,,,,,,220,Y,6.74,286.7,,,,,,,0
2,90C S10C D5 SPC5,5,90,10,,,,,,,,280,N,6.71,302.8,,,,,,,0
2,90C S10C D5 SPC4,5,90,10,,,,,,,,200,N,6.73,298.6,,,,,,,60
2,75C S6.5C D7 SPC6,7,75,6.5,,,,,,,,180,N,6.69,363.1,,,,,,,120
2,75C S6.5C D7 SPC7,7,75,6.5,,,,,,,,20,N,6.69,343.4,,,,,,,80
2,85C S6.5C D7 SPC8,7,85,6.5,,,,,,,,60,N,6.73,360.1,,,,,,,40
2,85C S6.5C D7 SPC9,7,85,6.5,,,,,,,,80,N,6.73,349.2,,,,,,,0
2,90C S6.5C D7 SPC11,7,90,6.5,,,,,,,,40,N,6.73,346.9,,,,,,,0
2,90C S6.5C D7 SPC10,7,90,6.5,,,,,,,,80,N,6.72,343.5,,,,,,,60
2,75C S10C D7 SPC12,7,75,10,,,,,,,,20,N,6.59,423.9,,,,,,,120
2,75C S10C D7 SPC13,7,75,10,,,,,,,,40,N,6.59,422.3,,,,,,,80
2,85C S10C D7 SPC14,7,85,10,,,,,,,,2340,N,6.72,269.1,,,,,,,40
2,85C S10C D7 SPC15,7,85,10,,,,,,,,2220,N,6.75,277,,,,,,,0
2,90C S10C D7 SPC17,7,90,10,,,,,,,,740,N,6.73,326.3,,,,,,,0
2,90C S10C D7 SPC16,7,90,10,,,,,,,,860,N,6.71,333.3,,,,,,,60
2,75C S10C D9 SPC,9,75,10,,,,,,,,2140,Y,6.55,362.8,,,,,,,120
2,75C S10C D9 SPC1,9,75,10,,,,,,,,2280,Y,6.56,345.8,,,,,,,80
2,85C S10C D9 SPC4,9,85,10,,,,,,,,1200000,Y,6.4,313.7,,,,,,,40
2,85C S10C D9 SPC3,9,85,10,,,,,,,,1200000,Y,6.39,312.8,,,,,,,0
2,85C S10C D9 SPC,9,85,10,,,,,,,,869352,Y,,,,,,,,,40
2,85C S10C D9 SPC2,9,85,10,,,,,,,,581683,Y,,,,,,,,,0
2,90C S10C D9 SPC5,9,90,10,,,,,,,,60000,N,6.49,289.2,,,,,,,0
2,90C S10C D9 SPC6,9,90,10,,,,,,,,68000,N,6.51,287.4,,,,,,,60
2,75C S10C D11 SPC,11,75,10,,,,,,,,563119,N,6.55,319.5,,,,,,,120
2,75C S10C D11 SPC1,11,75,10,,,,,,,,677599,N,6.56,324,,,,,,,80
2,85C S10C D11 SPC2,11,85,10,,,,,,,,23400000,Y,6.4,263.5,,,,,,,40
2,85C S10C D11 SPC3,11,85,10,,,,,,,,24400000,Y,6.39,275,,,,,,,0
2,90C S10C D11 SPC4,11,90,10,,,,,,,,160,N,6.49,371.7,,,,,,,0
2,90C S10C D11 SPC5,11,90,10,,,,,,,,200,N,6.51,364,,,,,,,60
2,75C S10C D13 SPC,13,75,10,,,,,,,,6000000,N,6.67,322.3,,,,,,,120
2,75C S10C D13 SPC1,13,75,10,,,,,,,,7000000,N,6.67,336.7,,,,,,,80
2,85C S10C D13 SPC3,13,85,10,,,,,,,,21000000,Y,6.3,3313.5,Y,,,,,,40
2,85C S10C D13 SPC2,13,85,10,,,,,,,,17400000,Y,6.29,3261.3,Y,,,,,,0
2,90C S10C D13 SPC4,13,90,10,,,,,,,,9578,N,6.66,395.4,,,,,,,0
2,90C S10C D13 SPC5,13,90,10,,,,,,,,10904,N,6.68,392,,,,,,,60
2,75C S6.5C D14 SPC7,14,75,6.5,,,,,,,,1540,N,6.74,383.5,,,,,,,120
2,75C S6.5C D14 SPC6,14,75,6.5,,,,,,,,1620,N,6.78,367.8,,,,,,,80
2,85C S6.5C D14 SPC9,14,85,6.5,,,,,,,,64000,N,6.78,369,,,,,,,40
2,85C S6.5C D14 SPC8,14,85,6.5,,,,,,,,46000,N,6.8,344.4,,,,,,,0
2,90C S6.5C D14 SPC11,14,90,6.5,,,,,,,,122000,N,6.76,346.2,,,,,,,0
2,90C S6.5C D14 SPC10,14,90,6.5,,,,,,,,80000,N,6.77,358.3,,,,,,,60
2,75C S10C D15 SPC,15,75,10,,,,,,,,43000000,Y,6.52,352.3,,,,,,,120
2,75C S10C D15 SPC1,15,75,10,,,,,,,,51361384,Y,6.56,359.5,,,,,,,80
2,85C S10C D15 SPC3,15,85,10,,,,,,,,4600000,Y,5.88,462.5,,,,,,,40
2,85C S10C D15 SPC4,15,85,10,,,,,,,,5600000,Y,5.89,518.9,,,,,,,0
2,90C S10C D15 SPC5,15,90,10,,,,,,,,59405940,Y,6.04,316.6,,,,,,,0
2,90C S10C D15 SPC6,15,90,10,,,,,,,,51670792,Y,6.05,329.8,,,,,,,60
2,90C S10C 17 SPC1,17,90,10,,,,,,,,16000000,N,5.69,10046,Y,,,,,,0
2,90C S10C 17 SPC,17,90,10,,,,,,,,12800000,N,5.71,1864.1,Y,,,,,,60
2,75C S10C D18 SPC,18,75,10,,,,,,,,136000,Y,6.61,393.8,,,,,,,120
2,75C S10C D18 SPC1,18,75,10,,,,,,,,268000,Y,6.64,382.8,,,,,,,80
2,75C S6.5C D21 SPC8,21,75,6.5,,,,,,,,110000,N,6.78,402.6,,,,,,,120
2,75C S6.5C D21 SPC9,21,75,6.5,,,,,,,,90000,N,6.79,399.7,,,,,,,80
2,85C S6.5C D21 SPC10,21,85,6.5,,,,,,,,4600000,N,6.72,376.7,,,,,,,40
2,85C S6.5C D21 SPC11,21,85,6.5,,,,,,,,3000000,N,6.73,368,,,,,,,0
2,90C S6.5C D21 SPC,21,90,6.5,,,,,,,,20800000,N,6.69,388.7,,,,,,,0
2,90C S6.5C D21 SPC1,21,90,6.5,,,,,,,,22600000,N,6.69,376.6,,,,,,,60
2,75C S6.5C D28 SPC6,28,75,6.5,,,,,,,,8750000,N,6.63,360.3,,,,,,,120
2,75C S6.5C D28 SPC7,28,75,6.5,,,,,,,,9492188,N,6.67,389.1,,,,,,,80
2,85C S6.5C D28 SPC8,28,85,6.5,,,,,,,,12148438,N,6.35,456.2,,,,,,,40
2,85C S6.5C D28 SPC9,28,85,6.5,,,,,,,,11132813,N,6.34,448,,,,,,,0
2,90C S6.5C D28 SPC12,28,90,6.5,,,,,,,,15400000,N,6.21,455.9,,,,,,,0
2,90C S6.5C D28 SPC13,28,90,6.5,,,,,,,,14600000,N,6.22,438.8,,,,,,,60
2,75C S6.5C D35 SPC8,35,75,6.5,,,,,,,,33000000,N,6.16,430.9,,,,,,,120
2,75C S6.5C D35 SPC9,35,75,6.5,,,,,,,,32400000,N,6.16,389,,,,,,,80
2,85C S6.5C D35 SPC11,35,85,6.5,,,,,,,,4565217.5,N,6.47,456.2,,,,,,,40
2,85C S6.5C D35 SPC12,35,85,6.5,,,,,,,,4161490.5,N,6.47,448,,,,,,,0
2,90C S6.5C D35 SPC13,35,90,6.5,,,,,,,,200000,N,5.61,455.9,,,,,,,0
