ID,Initial microbial count,LOG Initial microbial count
4749,1.516944168,32.88093567
4750,1.496342329,31.35756483
4751,0.698970004,5
4753,-0.156101267,0.698069613
4754,-1.02114483,0.095247848
4755,-0.761126484,0.173329912
4757,-0.534026614,0.292397319
4758,-0.469490397,0.339241991
4759,-0.508898747,0.309814153
4761,0.698970004,5
4762,0.698970004,5
4763,-2.557135566,0.002772455
4765,2.055112277,113.5304286
4766,2.742937049,553.2699075
4771,0.677421931,4.757972542
4772,0.218494008,1.653841968
4773,2.120780391,132.0627665
4775,0.161129387,1.449203544
4776,0.687847305,4.873571088
4778,0.698970004,5
4779,-0.400421507,0.397720973
4780,0.698970004,5
4781,0.698970004,5
4782,0.698970004,5
4783,-1.445486335,0.035852023
4785,0.698970004,5
4786,0.431076693,2.698215871
4788,0.698970004,5
4789,-2.301659519,0.004992758
4790,0.016955664,1.039814009
4791,0.307862587,2.031714064
4793,0.698970004,5
4794,0.698970004,5
4795,1.514310014,32.68210445
4796,-0.675056173,0.211321569
4797,-1.521600988,0.030088394
4798,-1.691016977,0.020369624
4799,-1.579170164,0.026352986
4800,0.698970004,5
4801,0.698970004,5
4802,0.698970004,5
4803,0.698970004,5
4804,0.698970004,5
4805,0.698970004,5
4806,0.698970004,5
4807,-0.351736965,0.444900645
4808,-0.609481375,0.245764202
4809,-0.368614875,0.42794221
4810,-0.630301327,0.234260288
4812,0.698970004,5
4813,-0.248588999,0.564171315
4814,-1.485330475,0.03270917
4815,0.698970004,5
4816,-1.502786982,0.031420495
4817,-0.262359087,0.546563862
4818,-0.760822471,0.173451288
4820,0.698970004,5
4821,0.698970004,5
4822,0.698970004,5
4823,0.698970004,5
4825,0.698970004,5
4826,0.16323091,1.456233138
4827,-2.320068092,0.004785551
4828,0.698970004,5
4829,-1.315897724,0.048317258
4830,-0.812269552,0.154074387
4832,-0.847268402,0.142145003
4833,0.698970004,5
4834,-4.969736066,1.07E-05
4835,-0.799706059,0.158596625
4837,1.696769873,49.74734104
4838,1.928006196,84.7239502
4839,-0.07297158,0.845334162
4841,2.283829361,192.2336275
4842,1.508802977,32.27029807
4845,0.698970004,5
4846,0.698970004,5
4847,-0.864283068,0.136683765
4848,1.887907542,77.25161039
4849,0.917302694,8.266138804
4851,-1.089991447,0.081284652
4852,-0.696211694,0.201274291
4853,-0.711998382,0.194089311
4854,0.698970004,5
4855,0.342826857,2.202048382
4856,0.10449513,1.272023485
4857,-0.662302767,0.217619212
4858,0.698970004,5
4865,-0.218176179,0.605095357
4866,0.165456019,1.463713301
4867,0.425297845,2.662550446
4868,0.164344536,1.45997203
4869,0.382441602,2.412357132
4871,-0.284215983,0.519737456
4872,-0.396724214,0.401121357
4873,-0.130116422,0.741111543
4875,-0.263215053,0.545487681
4876,-0.277770109,0.527509021
4877,-0.3018223,0.499088657
4880,0.279002141,1.901087651
4883,0.698970004,5
4884,0.698970004,5
4885,-1.815074439,0.015308251
4886,0.698970004,5
4887,0.698970004,5
4888,0.698970004,5
4890,-0.08562929,0.821052089
4891,-0.576300781,0.265276769
4893,0.165394634,1.463506428
4895,0.698970004,5
4896,-0.573315031,0.267106815
4897,-0.604581436,0.248552745
4898,0.224049494,1.67513377
4900,0.066872821,1.166467978
4901,-1.649956907,0.022389433
4902,-0.3018223,0.499088657
4903,-1.011475392,0.097392297
4905,-0.081766181,0.828388038
4906,-0.530259037,0.294944949
4907,0.698970004,5
4908,0.698970004,5
4909,-0.772935409,0.168680388
4910,-0.360214786,0.436300001
4911,0.698970004,5
4912,0.845361542,7.004248436
4913,0.17096204,1.48238851
4914,-0.141885281,0.721297985
4915,-1.513251443,0.030672456
4917,0.698970004,5
4920,-4.113425858,7.70E-05
4921,-0.540114665,0.288327014
4923,0.698970004,5
4924,0.698970004,5
4925,0.70598764,5.081449808
4926,-1.129861653,0.074154643
4928,2.560398449,363.4113181
4931,0.514757703,3.271581196
4932,0.506053374,3.206663392
4933,3.000576478,1001.32827
4934,5.574835385,375694.9737
4935,-0.063848886,0.863278877
4936,0.698970004,5
4937,0.698369155,4.993087254
4938,0.698970004,5
4939,0.608660896,4.061260955
4940,0.698970004,5
4941,0.053329779,1.130654144
4942,0.516073997,3.281512002
4943,0.17091333,1.482222256
4945,0.904462762,8.025327463
4946,1.471661668,29.62522573
4947,0.629584745,4.261718352
4948,1.330062706,21.38270804
4950,3.739977624,5495.125609
4951,1.371350979,23.51532466
4952,3.435544377,2726.116282
4953,0.712375037,5.156737649
4959,2.027462227,106.5276208
