"","Plant","VSLNumber","SampleID","Day_Initial_Actual","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","LOD_CVTA_D7","LOD_CVTA_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"11","Byrne Dairy","439","52",1,10,"10","10","10",10,"10","92","287","5710","181000",92,102,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"12","Byrne Dairy","439","52-1",1,10,"10","4e+05","10",10,"10","51","736","4e+05","195000",113,194,"<","<",">","<","<","<","OK","OK",">","OK","OK","OK"
"13","Byrne Dairy","439","52-2",1,139000,"1.64e+08","204000","2.65e+08",491,"10","175000","1.9e+08","613000","3.14e+08",521,174,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"14","Byrne Dairy","439","53",1,10,"10","10","10",10,"1","31","2800","1290","53100",153,174,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"15","Byrne Dairy","439","53-1",1,28300000,"1.32e+08","3.23e+08","1.63e+08",93400,"10","32100000","1.35e+08","3.46e+08","1.76e+08",81800,21,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"16","Byrne Dairy","439","53-2",0,1.64e+08,"2.72e+08","4.09e+08","2.25e+08",1.2e+07,"10","90200000","2.84e+08","3.2e+08","1.35e+08",6910000,215,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"17","Byrne Dairy","442","22",0,1.18e+08,"4.63e+08","1e+05","10",4420000,"10","1.34e+08","4.96e+08","1e+05","3090000",4960000,6460,"OK","OK","<","<","OK","<","OK","OK","<","OK","OK","OK"
"18","Byrne Dairy","442","22-1",1,35500000,"55400000","47600000","2.6e+08",136000,"10","36900000","66500000","57600000","3.77e+08",99900,144,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"19","Byrne Dairy","442","22-2",1,10,"15100000","3.71e+08","5.45e+08",10,"10","1990","14300000","3.94e+08","19600000",2060,2490,"<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"20","Byrne Dairy","442","23",0,389,"10","25300000","24200000",10,"10","1100","116000","62700000","1.2e+07",430,266,"OK","<","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"21","Byrne Dairy","442","23-1",1,765000,"4540000","16300000","14100000",6070,"10","735000","4930000","15400000","13700000",6620,4810,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"22","Byrne Dairy","442","23-2",1,34400000,"85400000","1.77e+08","2.12e+08",145000,"10","40400000","1.1e+08","1.8e+08","2.36e+08",128000,501,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"23","Byrne Dairy","457","21",2,20,"20","20","20",20,"20","2000","20","2700","10000",170,200,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"24","Byrne Dairy","457","22",2,20,"20","20","20",20,"NotTested","290","100","2000","2700",120,240,"<","<","<","<","<","OK","OK","OK","OK","OK","OK","OK"
"25","Byrne Dairy","457","22-1",2,2100,"990000","7.7e+07","2.3e+08",20,"20","3200","1300000","6e+07","4.4e+08",240,240,"OK","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"26","Byrne Dairy","457","22-2",2,2.9e+07,"1.4e+08","2.4e+08","2.4e+08",4e+05,"20","1.9e+07","6.2e+07","2.2e+08","5.1e+08",4e+05,350,"OK","OK","OK","OK",">","<","OK","OK","OK","OK",">","OK"
