Hour,Isolate,LogCount,Count,BioRep
48,FSL R10-0941,4.538099142,3.45E+04,1
48,FSL R10-0941,4.601423776,3.99E+04,1
48,FSL R10-0054,5.191089957,1.55E+05,1
48,FSL R10-0054,5.138762067,1.38E+05,1
48,FSL R10-0151,4.551527094,3.56E+04,1
48,FSL R10-0151,4.590612068,3.90E+04,1
48,FSL R10-0553,4.10663541,1.28E+04,1
48,FSL R10-0553,4.082405533,1.21E+04,1
48,FSL R10-0531,3.588128004,3.87E+03,2
48,FSL R10-0531,3.555423722,3.59E+03,2
48,FSL R10-1099,4.037438404,1.09E+04,2
48,FSL R10-1099,4.03147545,1.08E+04,2
48,FSL R10-1113,4.101555878,1.26E+04,2
48,FSL R10-1113,4.196187604,1.57E+04,2
48,FSL R10-0941,4.718223776,5.23E+04,2
48,FSL R10-0941,4.735952549,5.44E+04,2
48,FSL R10-0054,5.042843972,1.10E+05,2
48,FSL R10-0054,5.07620657,1.19E+05,2
48,FSL R10-0151,4.479684046,3.02E+04,2
48,FSL R10-0151,4.628103871,4.25E+04,2
48,FSL R10-0553,4.131171892,1.35E+04,2
48,FSL R10-0553,4.167384063,1.47E+04,2
48,FSL R10-0531,3.555423722,3.59E+03,3
48,FSL R10-0531,3.478661946,3.01E+03,3
48,FSL R10-1099,4.067927727,1.17E+04,3
48,FSL R10-1099,4.000367087,1.00E+04,3
48,FSL R10-1113,4.157342121,1.44E+04,3
48,FSL R10-1113,4.073413596,1.18E+04,3
48,FSL R10-0941,4.72080119,5.26E+04,3
48,FSL R10-0941,4.632984457,4.30E+04,3
48,FSL R10-0054,5.062220921,1.15E+05,3
48,FSL R10-0054,5.101454712,1.26E+05,3
48,FSL R10-0151,4.547614497,3.53E+04,3
48,FSL R10-0151,4.529558122,3.38E+04,3
48,FSL R10-0553,4.144454101,1.39E+04,3
48,FSL R10-0553,4.203099608,1.60E+04,3
60,FSL R10-0531,3.804668356,6.38E+03,1
60,FSL R10-0531,3.860270406,7.25E+03,1
60,FSL R10-1099,4.080621978,1.20E+04,1
60,FSL R10-1099,4.067927727,1.17E+04,1
60,FSL R10-1113,4.365255098,2.32E+04,1
60,FSL R10-1113,4.368390804,2.34E+04,1
60,FSL R10-0941,4.520054625,3.31E+04,1
60,FSL R10-0941,4.713022566,5.16E+04,1
60,FSL R10-0054,5.304129475,2.01E+05,1
60,FSL R10-0054,5.287530211,1.94E+05,1
60,FSL R10-0151,4.855884321,7.18E+04,1
60,FSL R10-0151,4.855884321,7.18E+04,1
60,FSL R10-0553,4.349227655,2.23E+04,1
60,FSL R10-0553,4.329179708,2.13E+04,1
60,FSL R10-0531,3.733463726,5.41E+03,2
60,FSL R10-0531,3.725910596,5.32E+03,2
60,FSL R10-1099,4.162392101,1.45E+04,2
60,FSL R10-1099,4.177199049,1.50E+04,2
60,FSL R10-1113,4.286073852,1.93E+04,2
60,FSL R10-1113,4.238213217,1.73E+04,2
60,FSL R10-0941,4.804668343,6.38E+04,2
60,FSL R10-0941,4.760086212,5.76E+04,2
60,FSL R10-0054,5.175556431,1.50E+05,2
60,FSL R10-0054,5.129393237,1.35E+05,2
60,FSL R10-0151,4.778410082,6.00E+04,2
60,FSL R10-0151,4.772596149,5.92E+04,2
60,FSL R10-0553,4.349227655,2.23E+04,2
60,FSL R10-0553,4.412737242,2.59E+04,2
60,FSL R10-0531,3.713022574,5.16E+03,3
60,FSL R10-0531,3.576728563,3.77E+03,3
60,FSL R10-1099,3.993868785,9.86E+03,3
60,FSL R10-1099,4.039407999,1.09E+04,3
60,FSL R10-1113,4.184417388,1.53E+04,3
60,FSL R10-1113,4.203099608,1.60E+04,3
60,FSL R10-0941,4.594826766,3.93E+04,3
60,FSL R10-0941,4.707758343,5.10E+04,3
60,FSL R10-0054,4.678893431,4.77E+04,3
60,FSL R10-0054,4.653471355,4.50E+04,3
60,FSL R10-0151,4.614841954,4.12E+04,3
60,FSL R10-0151,4.57613426,3.77E+04,3
60,FSL R10-0553,4.214380617,1.64E+04,3
60,FSL R10-0553,4.295413876,1.97E+04,3
72,FSL R10-0531,4.385356061,2.43E+04,1
72,FSL R10-0531,4.426422331,2.67E+04,1
72,FSL R10-1099,4.487262139,3.07E+04,1
72,FSL R10-1099,4.567388541,3.69E+04,1
72,FSL R10-1113,4.957466796,9.07E+04,1
72,FSL R10-1113,4.985050318,9.66E+04,1
72,FSL R10-0941,5.169858687,1.48E+05,1
72,FSL R10-0941,5.147062459,1.40E+05,1
72,FSL R10-0054,5.793171843,6.21E+05,1
72,FSL R10-0054,5.771423947,5.91E+05,1
72,FSL R10-0151,5.508573609,3.23E+05,1
72,FSL R10-0151,5.506418309,3.21E+05,1
72,FSL R10-0553,4.969173571,9.31E+04,1
72,FSL R10-0553,5.169858687,1.48E+05,1
72,FSL R10-0531,4.147668747,1.40E+04,2
72,FSL R10-0531,4.226849973,1.69E+04,2
72,FSL R10-1099,4.552990709,3.57E+04,2
72,FSL R10-1099,4.54560875,3.51E+04,2
72,FSL R10-1113,4.854642309,7.16E+04,2
72,FSL R10-1113,4.907203326,8.08E+04,2
72,FSL R10-0941,5.286073852,1.93E+05,2
72,FSL R10-0941,5.272650872,1.87E+05,2
72,FSL R10-0054,6.141402147,1.38E+06,2
72,FSL R10-0054,6.03618799,1.09E+06,2
72,FSL R10-0151,5.517089456,3.29E+05,2
72,FSL R10-0151,5.339319369,2.18E+05,2
72,FSL R10-0553,5.147062459,1.40E+05,2
72,FSL R10-0553,5.029469449,1.07E+05,2
72,FSL R10-0531,4.200197783,1.59E+04,3
72,FSL R10-0531,4.194665317,1.57E+04,3
72,FSL R10-1099,4.439291267,2.75E+04,3
72,FSL R10-1099,4.432904464,2.71E+04,3
72,FSL R10-1113,4.624790012,4.21E+04,3
72,FSL R10-1113,4.60576676,4.03E+04,3
72,FSL R10-0941,5.106635417,1.28E+05,3
72,FSL R10-0941,5.144454089,1.39E+05,3
72,FSL R10-0054,5.274594018,1.88E+05,3
72,FSL R10-0054,5.262802514,1.83E+05,3
72,FSL R10-0151,5.35409829,2.26E+05,3
72,FSL R10-0151,5.355709767,2.27E+05,3
72,FSL R10-0553,4.800410533,6.32E+04,3
72,FSL R10-0553,4.835337167,6.84E+04,3
96,FSL R10-0531,5.276528545,1.89E+05,1
96,FSL R10-0531,5.198503863,1.58E+05,1
96,FSL R10-1099,5.320545364,2.09E+05,1
96,FSL R10-1099,5.335965712,2.17E+05,1
96,FSL R10-1113,5.695982637,4.97E+05,1
96,FSL R10-1113,5.702909321,5.05E+05,1
96,FSL R10-0941,5.807448304,6.42E+05,1
96,FSL R10-0941,5.712424763,5.16E+05,1
96,FSL R10-0054,7.169430891,1.48E+07,1
96,FSL R10-0054,7.105761798,1.28E+07,1
96,FSL R10-0151,6.043320566,1.10E+06,1
96,FSL R10-0151,6.01307905,1.03E+06,1
96,FSL R10-0553,6.085950796,1.22E+06,1
96,FSL R10-0553,6.058627702,1.14E+06,1
96,FSL R10-0531,5.043320578,1.10E+05,2
96,FSL R10-0531,5.058627685,1.14E+05,2
96,FSL R10-1099,5.231842055,1.71E+05,2
96,FSL R10-1099,5.274594018,1.88E+05,2
96,FSL R10-1113,5.463293648,2.91E+05,2
96,FSL R10-1113,5.293561871,1.97E+05,2
96,FSL R10-0941,5.767888306,5.86E+05,2
96,FSL R10-0941,5.6774385,4.76E+05,2
96,FSL R10-0054,7.063797322,1.16E+07,2
96,FSL R10-0054,7.121198767,1.32E+07,2
96,FSL R10-0151,6.067927714,1.17E+06,2
96,FSL R10-0151,6.098136248,1.25E+06,2
96,FSL R10-0553,6.033472209,1.08E+06,2
96,FSL R10-0553,6.037438401,1.09E+06,2
96,FSL R10-0531,4.752985865,5.66E+04,3
96,FSL R10-0531,4.769376287,5.88E+04,3
96,FSL R10-1099,4.98727178,9.71E+04,3
96,FSL R10-1099,4.98727178,9.71E+04,3
96,FSL R10-1113,5.266768682,1.85E+05,3
96,FSL R10-1113,5.287957986,1.94E+05,3
96,FSL R10-0941,5.708372215,5.11E+05,3
96,FSL R10-0941,5.713767244,5.17E+05,3
96,FSL R10-0054,6.748529357,5.60E+06,3
96,FSL R10-0054,6.720418148,5.25E+06,3
96,FSL R10-0151,6.078831091,1.20E+06,3
96,FSL R10-0151,6.309952283,2.04E+06,3
96,FSL R10-0553,5.856526457,7.19E+05,3
96,FSL R10-0553,5.771668077,5.91E+05,3
120,FSL R10-0531,6.272223072,1.87E+06,1
120,FSL R10-0531,6.215064977,1.64E+06,1
120,FSL R10-1099,6.493256856,3.11E+06,1
120,FSL R10-1099,6.465673337,2.92E+06,1
120,FSL R10-1113,6.764323625,5.81E+06,1
120,FSL R10-1113,6.761930806,5.78E+06,1
120,FSL R10-0941,6.880566803,7.60E+06,1
120,FSL R10-0941,6.868400895,7.39E+06,1
120,FSL R10-0531,6.073137345,1.18E+06,2
120,FSL R10-0531,6.012054315,1.03E+06,2
120,FSL R10-1099,6.23821323,1.73E+06,2
120,FSL R10-1099,6.240316345,1.74E+06,2
120,FSL R10-1113,6.523368538,3.34E+06,2
120,FSL R10-1113,6.623177988,4.20E+06,2
120,FSL R10-0941,6.72956151,5.36E+06,2
120,FSL R10-0941,6.903921597,8.02E+06,2
120,FSL R10-0054,7.650380269,4.47E+07,2
120,FSL R10-0054,7.438750697,2.75E+07,2
120,FSL R10-0531,5.734701142,5.43E+05,3
120,FSL R10-0531,5.724360313,5.30E+05,3
120,FSL R10-1099,5.907203301,8.08E+05,3
120,FSL R10-1099,5.871312405,7.44E+05,3
120,FSL R10-1113,6.189163839,1.55E+06,3
120,FSL R10-1113,6.167384062,1.47E+06,3
120,FSL R10-0941,6.780714046,6.04E+06,3
120,FSL R10-0941,6.855884336,7.18E+06,3
120,FSL R10-0054,6.62482617,4.22E+06,3
120,FSL R10-0054,6.628103888,4.25E+06,3
120,FSL R10-0151,6.992104102,9.82E+06,1
120,FSL R10-0151,6.906189453,8.06E+06,1
120,FSL R10-0151,7.001286124,1.00E+07,2
120,FSL R10-0151,6.936755453,8.64E+06,2
120,FSL R10-0151,6.611462202,4.09E+06,3
120,FSL R10-0151,6.789809538,6.16E+06,3
144,FSL R10-0531,6.926084263,8.43E+06,1
144,FSL R10-0531,6.854500246,7.15E+06,1
144,FSL R10-1099,6.860934318,7.26E+06,1
144,FSL R10-1099,6.843703673,6.98E+06,1
144,FSL R10-1113,6.797614803,6.28E+06,1
144,FSL R10-1113,6.842708723,6.96E+06,1
144,FSL R10-0941,7.35085727,2.24E+07,1
144,FSL R10-0941,7.347591879,2.23E+07,1
144,FSL R10-0054,7.520054634,3.31E+07,1
144,FSL R10-0054,7.545608766,3.51E+07,1
144,FSL R10-0151,7.304557261,2.02E+07,1
144,FSL R10-0151,7.262802512,1.83E+07,1
144,FSL R10-0553,7.136533622,1.37E+07,1
144,FSL R10-0553,7.212147743,1.63E+07,1
144,FSL R10-0531,6.691772938,4.92E+06,2
144,FSL R10-0531,6.709727256,5.13E+06,2
144,FSL R10-1099,6.754672254,5.68E+06,2
144,FSL R10-1099,6.720418148,5.25E+06,2
144,FSL R10-1113,6.949224065,8.90E+06,2
144,FSL R10-1113,6.980823073,9.57E+06,2
144,FSL R10-0941,7.358914903,2.29E+07,2
144,FSL R10-0941,7.315281138,2.07E+07,2
144,FSL R10-0054,7.585871908,3.85E+07,2
144,FSL R10-0054,7.61854105,4.15E+07,2
144,FSL R10-0151,7.382227904,2.41E+07,2
144,FSL R10-0151,7.302743897,2.01E+07,2
144,FSL R10-0553,7.309952277,2.04E+07,2
144,FSL R10-0553,7.262802512,1.83E+07,2
144,FSL R10-0531,6.362096594,2.30E+06,3
144,FSL R10-0531,6.337645768,2.18E+06,3
144,FSL R10-1099,6.44021984,2.76E+06,3
144,FSL R10-1099,6.425938697,2.67E+06,3
144,FSL R10-1113,6.726968693,5.33E+06,3
144,FSL R10-1113,6.723050251,5.29E+06,3
144,FSL R10-0941,7.200807805,1.59E+07,3
144,FSL R10-0941,7.186797103,1.54E+07,3
144,FSL R10-0054,7.603600694,4.01E+07,3
144,FSL R10-0054,7.70775833,5.10E+07,3
144,FSL R10-0151,7.266768704,1.85E+07,3
144,FSL R10-0151,7.320545363,2.09E+07,3
144,FSL R10-0553,7.128465991,1.34E+07,3
144,FSL R10-0553,7.162392118,1.45E+07,3
168,FSL R10-0531,7.525441532,3.35E+07,1
168,FSL R10-0531,7.786421006,6.12E+07,1
168,FSL R10-1099,7.481975838,3.03E+07,1
168,FSL R10-1099,7.67889344,4.77E+07,1
168,FSL R10-1113,8.064231558,1.16E+08,1
168,FSL R10-1113,8.141829955,1.39E+08,1
168,FSL R10-0941,7.843162488,6.97E+07,1
168,FSL R10-0941,7.93556494,8.62E+07,1
168,FSL R10-0054,7.922902419,8.37E+07,1
168,FSL R10-0054,7.978316949,9.51E+07,1
168,FSL R10-0151,7.817196942,6.56E+07,1
168,FSL R10-0151,7.778471786,6.00E+07,1
168,FSL R10-0553,7.590612081,3.90E+07,1
168,FSL R10-0553,7.604622787,4.02E+07,1
168,FSL R10-0531,7.564950073,3.67E+07,2
168,FSL R10-0531,7.667115211,4.65E+07,2
168,FSL R10-1099,7.41004812,2.57E+07,2
168,FSL R10-1099,7.425938721,2.67E+07,2
168,FSL R10-1113,7.740887758,5.51E+07,2
168,FSL R10-1113,7.745767517,5.57E+07,2
168,FSL R10-0941,7.85652647,7.19E+07,2
168,FSL R10-0941,7.837306762,6.88E+07,2
168,FSL R10-0054,7.912499661,8.18E+07,2
168,FSL R10-0054,7.847022929,7.03E+07,2
168,FSL R10-0151,7.782949112,6.07E+07,2
168,FSL R10-0151,7.847022929,7.03E+07,2
168,FSL R10-0553,7.486523477,3.07E+07,2
168,FSL R10-0553,7.456075262,2.86E+07,2
168,FSL R10-0531,7.379190863,2.39E+07,3
168,FSL R10-0531,7.488779563,3.08E+07,3
168,FSL R10-1099,7.376132435,2.38E+07,3
168,FSL R10-1099,7.412737265,2.59E+07,3
168,FSL R10-1113,7.533019612,3.41E+07,3
168,FSL R10-1113,7.503967823,3.19E+07,3
168,FSL R10-0941,7.607922051,4.05E+07,3
168,FSL R10-0941,7.705102106,5.07E+07,3
168,FSL R10-0054,7.748187003,5.60E+07,3
168,FSL R10-0054,7.75298588,5.66E+07,3
168,FSL R10-0151,7.813060778,6.50E+07,3
168,FSL R10-0151,7.800410518,6.32E+07,3
