Condition,Strain,Dilution,Raw,CFU/mL in 10ml,Day,tnt.cnt.no_growth,Replicate,,,,,,,,
DM,0008,0,15600,1.56E+05,0,cnt,2,,,,,,,,
DM,031,0,15600,1.56E+05,0,cnt,2,,,,,,,,
DM,0506,0,8860,8.86E+04,0,cnt,2,,,,,,,,
DM,5411,0,5850,5.85E+04,0,cnt,2,,,,,,,,
DM,APC,0,20,2.00E+02,0,cnt,2,,checked,,,,,,
DM,MOX,0,0,0.00E+00,0,cnt,2,,,,,,,,
DM,LMPM,0,0,0.00E+00,0,cnt,2,,,,,,,,
DM,5506,0,19300,1.93E+05,1,cnt,2,,,,,,,,
DM,0008,1,24000,2.40E+05,1,cnt,2,,,,,,,,
DM,031,0,17100,1.71E+05,1,cnt,2,,,,,,,,
DM,0506,0,13900,1.39E+05,1,cnt,2,,,,,,,,
DM,5411,0,7190,7.19E+04,1,cnt,2,,,,,,,,
DM,APC,0,380,3.80E+03,1,cnt,2,,,,,,,,
DM,MOX,0,0,0.00E+00,1,cnt,2,,,,,,,,
DM,LMPM,0,0,0.00E+00,1,cnt,2,,,,,,,,
DM,5506,2,241000,2.41E+06,3,cnt,2,,,,,,,,
DM,0008,1,83000,8.30E+05,3,cnt,2,,,,,,,,
DM,031,0,25700,2.57E+05,3,cnt,2,,,,,,,,
DM,0506,1,361000,3.61E+06,3,cnt,2,,,,,,,,
DM,5411,1,12800,1.28E+05,3,cnt,2,,,,,,,,
DM,APC,1,6300,6.30E+04,3,cnt,2,,,,,,,,
DM,MOX,0,0,0.00E+00,3,cnt,2,,,,,,,,
DM,LMPM,0,0,0.00E+00,3,cnt,2,,,,,,,,
DM,5506,1,1800,1.80E+04,4,cnt,2,,,,,,,,
DM,0008,2,645000,6.45E+06,4,cnt,2,,checked,,,,,,
DM,031,2,325000,3.25E+06,4,cnt,2,,,,,,,,
DM,0506,3,1240000,1.24E+07,4,cnt,2,,,,,,,,
DM,5411,1,6500,6.50E+04,4,cnt,2,,,,,,,,
DM,APC,1,12500,1.25E+05,4,cnt,2,,,,,,,,
DM,MOX,0,0,0.00E+00,4,cnt,2,,,,,,,,
DM,LMPM,0,0,0.00E+00,4,cnt,2,,,,,,,,
DM,5506,3,11700000,1.17E+08,7,cnt,2,,,,,,,,
DM,0008,3,3550000,3.55E+07,7,cnt,2,,,,,,,,
DM,031,3,10600000,1.06E+08,7,cnt,2,,,,,,,,
DM,0506,3,4220000,4.22E+07,7,cnt,2,,checked,,,,,,
DM,5411,2,1440000,1.44E+07,7,cnt,2,,,,,,,,
DM,APC,1,292000,2.92E+06,7,cnt,2,,,,,,,,
DM,MOX,0,0,0.00E+00,7,cnt,2,,,,,,,,
DM,LMPM,0,0,0.00E+00,7,cnt,2,,,,,,,,
DM,5506,5,106000000,1.06E+04,Inoculum,cnt,3,,,,,,,,
DM,0008,6,1520000000,1.52E+05,Inoculum,cnt,3,,,,,,,,
DM,031,5,1820000000,1.82E+05,Inoculum,cnt,3,,,,,,,,
DM,0506,6,1300000000,1.30E+05,Inoculum,cnt,3,,,,,,,,
DM,5411,5,244000000,2.44E+04,Inoculum,cnt,3,,,,,,,,
DM,5506,0,7370,7.37E+04,0,cnt,3,,checked,,,,,,
DM,0008,0,12900,1.29E+05,0,cnt,3,,,,,,,,
DM,031,0,8880,8.88E+04,0,cnt,3,,,,,,,,
DM,0506,0,5970,5.97E+04,0,cnt,3,,,,,,,,
DM,5411,1,2970,2.97E+04,0,cnt,3,,,,,,,,
DM,APC,0,10700,1.07E+05,0,cnt,3,,,,,,,,
DM,MOX,0,0,0.00E+00,0,cnt,3,,,,,,,,
DM,LMPM,0,0,0.00E+00,0,cnt,3,,,,,,,,
DM,5506,0,16200,1.62E+05,1,cnt,3,,,,,,,,
DM,0008,1,42100,4.21E+05,1,cnt,3,,,,,,,,
DM,031,1,16800,1.68E+05,1,cnt,3,,checked,,,,,,
DM,0506,0,11900,1.19E+05,1,cnt,3,,,,,,,,
DM,5411,0,3890,3.89E+04,1,cnt,3,,,,,,,,
DM,APC,0,259000,2.59E+06,1,cnt,3,,,,,,,,
DM,MOX,0,0,0.00E+00,1,cnt,3,,,,,,,,
DM,LMPM,0,0,0.00E+00,1,cnt,3,,,,,,,,
DM,5506,2,398000,3.98E+06,3,cnt,3,,,,,,,,
DM,0008,2,485000,4.85E+06,3,cnt,3,,,,,,,,
DM,031,1,50100,5.01E+05,3,cnt,3,,,,,,,,
DM,0506,1,27000,2.70E+05,3,cnt,3,,,,,,,,
DM,5411,1,4500,4.50E+04,3,cnt,3,,checked,,,,,,
DM,APC,1,,,3,tnt,3,,,,,,,,
DM,MOX,0,0,0.00E+00,3,cnt,3,,,,,,,,
DM,LMPM,0,0,0.00E+00,3,cnt,3,,,,,,,,
DM,5506,2,171000,1.71E+06,4,cnt,3,,,,,,,,
DM,0008,2,143000,1.43E+06,4,cnt,3,,,,,,,,
DM,031,2,75700,7.57E+05,4,cnt,3,,,,,,,,
DM,0506,2,418000,4.18E+06,4,cnt,3,,,,,,,,
DM,5411,1,100,1.00E+03,4,cnt,3,,,,,,,,
DM,APC,1,,,4,tnt,3,,,,,,,,
DM,MOX,0,0,0.00E+00,4,cnt,3,,,,,,,,
DM,LMPM,0,0,0.00E+00,4,cnt,3,,,,,,,,
DM,5506,4,7060000,7.06E+07,7,cnt,3,,,,,,,,
DM,0008,4,10400000,1.04E+08,7,cnt,3,,,,,,,,
DM,031,2,2600000,2.60E+07,7,cnt,3,,,,,,,,
DM,0506,2,3600000,3.60E+07,7,cnt,3,,,,,,,,
DM,5411,3,10200,1.02E+05,7,cnt,3,,,,,,,,
DM,APC,1,,,7,tnt,3,,,,,,,,
DM,MOX,0,0,0.00E+00,7,cnt,3,,,,,,,,
DM,LMPM,0,0,0.00E+00,7,cnt,3,,,,,,,,
Glycerol,5506,5,993000000,9.93E+04,Inoculum,cnt,1,,checked,,,,,,
Glycerol,0008,5,656000000,6.56E+04,Inoculum,cnt,1,,,,,,,,
Glycerol,031,5,1190000000,1.19E+05,Inoculum,cnt,1,,,,,,,,
Glycerol,0506,5,442000000,4.42E+04,Inoculum,cnt,1,,,,,,,,
Glycerol,5411,5,552000000,5.52E+04,Inoculum,cnt,1,,,,,,,,
Glycerol,5506,0,7110,7.11E+04,0,cnt,1,,,,,,,,
Glycerol,0008,0,12900,1.29E+05,0,cnt,1,,,,,,,,
Glycerol,031,0,5340,5.34E+04,0,cnt,1,,,,,,,,
Glycerol,0506,0,5030,5.03E+04,0,cnt,1,,,,,,,,
Glycerol,5411,0,5200,5.20E+04,0,cnt,1,,,,,,,,
Glycerol,APC,0,470,4.70E+03,0,cnt,1,,checked,,,,,,
Glycerol,MOX,0,0,0.00E+00,0,cnt,1,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,0,no_growth,1,,,,,,,,
