LOG DI,LOG D7,LOG D10,LOG D14
1,1.913813852,6.079181246,5
1,3.681241237,3.491361694,4.973127854
1,1.301029996,7.041392685,4.491361694
1,4.230448921,4.176091259,3.579783597
1.301029996,4.278753601,5.602059991,9.491361694
1.301029996,3.477121255,3.079181246,9.113943352
1.301029996,,4.204119983,9.079181246
1.301029996,3.86923172,6.755874856,9.041392685
1.301029996,,7.041392685,9.041392685
1.301029996,,7.113943352,9.041392685
1.301029996,1.301029996,7.602059991,9.041392685
1.301029996,5.447158031,7.62324929,9.041392685
1.301029996,4.462397998,7.986771734,8.954242509
1.301029996,2.531478917,4.77815125,8.913813852
1.301029996,,7.602059991,8.913813852
1.301029996,,8.414973348,8.913813852
1.301029996,,4.819543936,8.903089987
1.301029996,3.278753601,7.681241237,8.903089987
1.301029996,1.301029996,7.86923172,8.892094603
1.301029996,5.602059991,5.602059991,8.880813592
1.301029996,3.380211242,5.62324929,8.880813592
1.301029996,4.73239376,8,8.838849091
1.301029996,2,4.505149978,8.792391689
1.301029996,2.633468456,7.204119983,8.707570176
1.301029996,5.602059991,5.72427587,8.698970004
1.301029996,4.51851394,6.929418926,8.653212514
1.301029996,1.301029996,6.857332496,8.643452676
1.301029996,4.934498451,6.531478917,8.633468456
1.301029996,2.462397998,3.462397998,8.602059991
1.301029996,5.230448921,7.176091259,8.602059991
1.301029996,4.491361694,5.602059991,8.591064607
1.301029996,1.612783857,7.857332496,8.591064607
1.301029996,2.62324929,7.204119983,8.579783597
1.301029996,3.380211242,8.301029996,8.544068044
1.301029996,2,7.698970004,8.531478917
1.301029996,5.857332496,7.819543936,8.531478917
1.301029996,4.716003344,3.681241237,8.477121255
1.301029996,2.079181246,5.602059991,8.477121255
1.301029996,4.851258349,6.079181246,8.477121255
1.301029996,5.602059991,7.968482949,8.462397998
1.301029996,4.826074803,3.880813592,8.447158031
1.301029996,,8.041392685,8.447158031
1.301029996,1.301029996,3.505149978,8.431363764
1.301029996,,6.342422681,8.414973348
1.301029996,5.602059991,7.602059991,8.414973348
1.301029996,5.602059991,5.602059991,8.380211242
1.301029996,3.041392685,5.716003344,8.380211242
1.301029996,2.544068044,4.301029996,8.342422681
1.301029996,4.770852012,5.230448921,8.342422681
1.301029996,2.698970004,5.602059991,8.342422681
1.301029996,5.602059991,7.602059991,8.342422681
1.301029996,2.301029996,7.653212514,8.342422681
1.301029996,3.176091259,6.397940009,8.322219295
1.301029996,1.301029996,5.079181246,8.301029996
1.301029996,2.892094603,7.602059991,8.301029996
1.301029996,5.602059991,7.602059991,8.278753601
1.301029996,5.176091259,4.568201724,8.255272505
1.301029996,5.602059991,7.602059991,8.255272505
1.301029996,3.278753601,7.662757832,8.255272505
1.301029996,3.204119983,3.602059991,8.230448921
1.301029996,5.322219295,7.204119983,8.230448921
1.301029996,3.929418926,5.602059991,8.204119983
1.301029996,4.431363764,7.556302501,8.204119983
1.301029996,4.146128036,7.763427994,8.204119983
1.301029996,5.602059991,3.255272505,8.176091259
1.301029996,1.785329835,8.146128036,8.176091259
1.301029996,5.602059991,6.819543936,8.146128036
1.301029996,,7.278753601,8.146128036
1.301029996,7.602059991,7.707570176,8.146128036
1.301029996,7.146128036,8.602059991,8.146128036
1.301029996,5.602059991,4.230448921,8.113943352
1.301029996,5.602059991,7.602059991,8.113943352
1.301029996,2.934498451,7.806179974,8.113943352
1.301029996,1.301029996,3,8.079181246
1.301029996,2.301029996,6.301029996,8.079181246
