Hour,Isolate,LogCount,Count
216,FSL R10-0941,8.183384289,1.53E+08
216,FSL R10-0054,8.171802438,1.49E+08
216,FSL R10-0054,8.087900534,1.22E+08
216,FSL R10-0151,8.064231558,1.16E+08
216,FSL R10-0151,7.97604907,9.46E+07
216,FSL R10-0553,8.0548512,1.13E+08
216,FSL R10-0553,7.998211755,9.96E+07
240,FSL R10-0531,8.469888059,2.95E+08
240,FSL R10-0531,8.52005466,3.31E+08
240,FSL R10-1099,8.385356077,2.43E+08
240,FSL R10-1099,8.429675502,2.69E+08
240,FSL R10-1113,8.585871935,3.85E+08
240,FSL R10-1113,8.610066733,4.07E+08
240,FSL R10-0941,8.226849987,1.69E+08
240,FSL R10-0941,8.27569854,1.89E+08
240,FSL R10-0054,8.211055707,1.63E+08
240,FSL R10-0054,8.205660686,1.61E+08
240,FSL R10-0151,8.127984992,1.34E+08
240,FSL R10-0151,8.067927703,1.17E+08
240,FSL R10-0553,8.172319286,1.49E+08
240,FSL R10-0553,8.157342102,1.44E+08
264,FSL R10-0531,8.522678799,3.33E+08
264,FSL R10-0531,8.583604077,3.83E+08
264,FSL R10-1099,8.610066733,4.07E+08
264,FSL R10-1099,8.720801207,5.26E+08
264,FSL R10-1113,8.762427425,5.79E+08
264,FSL R10-1113,8.79394448,6.22E+08
264,FSL R10-0941,9.221011218,1.66E+09
264,FSL R10-0941,9.262802499,1.83E+09
264,FSL R10-0054,8.177631971,1.51E+08
264,FSL R10-0054,8.311170863,2.05E+08
264,FSL R10-0151,7.010140884,1.02E+07
264,FSL R10-0151,7.087900549,1.22E+07
264,FSL R10-0553,8.349227656,2.23E+08
264,FSL R10-0553,8.369950226,2.34E+08
288,FSL R10-0531,8.569742428,3.71E+08
288,FSL R10-0531,8.522678799,3.33E+08
288,FSL R10-1099,8.778471792,6.00E+08
288,FSL R10-1099,8.817196942,6.56E+08
288,FSL R10-1113,8.815133781,6.53E+08
288,FSL R10-1113,8.848940347,7.06E+08
288,FSL R10-0941,8.355649147,2.27E+08
288,FSL R10-0941,8.36326853,2.31E+08
