Hour,Isolate,LogCount,Count
216,FSL R10-1113,8.381751959,2.41E+08
216,FSL R10-0941,8.194665322,1.57E+08
216,FSL R10-0941,8.242089965,1.75E+08
216,FSL R10-0054,8.087900534,1.22E+08
216,FSL R10-0054,8.07342271,1.18E+08
216,FSL R10-0151,7.93805376,8.67E+07
216,FSL R10-0151,8.006769557,1.02E+08
216,FSL R10-0553,7.892588215,7.81E+07
216,FSL R10-0553,7.892588215,7.81E+07
240,FSL R10-0531,8.436109599,2.73E+08
240,FSL R10-0531,8.466923538,2.93E+08
240,FSL R10-1099,8.423144621,2.65E+08
240,FSL R10-1099,8.392475804,2.47E+08
240,FSL R10-1113,8.607922069,4.05E+08
240,FSL R10-1113,8.574412298,3.75E+08
240,FSL R10-0941,8.347893666,2.23E+08
240,FSL R10-0941,8.319604048,2.09E+08
240,FSL R10-0054,8.205660686,1.61E+08
240,FSL R10-0054,8.177631971,1.51E+08
240,FSL R10-0151,8.078831064,1.20E+08
240,FSL R10-0151,8.017235006,1.04E+08
240,FSL R10-0553,8.135924794,1.37E+08
240,FSL R10-0553,8.121526964,1.32E+08
264,FSL R10-0531,8.503967828,3.19E+08
264,FSL R10-0531,8.5304574,3.39E+08
264,FSL R10-1099,8.535566797,3.43E+08
264,FSL R10-1099,8.522678799,3.33E+08
264,FSL R10-1113,8.767072331,5.85E+08
264,FSL R10-1113,8.718223784,5.23E+08
264,FSL R10-0941,9.311735828,2.05E+09
264,FSL R10-0941,9.304557252,2.02E+09
264,FSL R10-0054,8.183384289,1.53E+08
264,FSL R10-0054,8.216384573,1.65E+08
264,FSL R10-0151,7.363268545,2.31E+07
264,FSL R10-0151,7.302570699,2.01E+07
264,FSL R10-0553,8.309952277,2.04E+08
264,FSL R10-0553,8.291701948,1.96E+08
288,FSL R10-0531,8.550543964,3.55E+08
288,FSL R10-0531,8.54311996,3.49E+08
288,FSL R10-1099,8.760086209,5.76E+08
288,FSL R10-1099,8.72844295,5.35E+08
288,FSL R10-1113,8.776215711,5.97E+08
288,FSL R10-1113,8.782949095,6.07E+08
288,FSL R10-0941,8.335994465,2.17E+08
288,FSL R10-0941,8.367028701,2.33E+08
